Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
TIT	front	intro	m2jl			0		# Введение в Послание Титу<br><br>## Часть 1: Общее введение<br><br>### План Послания Титу<br><br>1. Приветствие (1:1-4)<br>1. Главное поручение Титу (1:5-16)<br>1. Наставления для церкви (2:1-3:8)<br>1. Заключительные наставления Титу (3:9-14)<br>1. Заключительные приветствия (3:15)<br><br><br>### Кто написал послание Титу?<br><br>Послание Титу написал апостол Павел. Павел был иудеем (евреем), его иудейское имя <br>– Савл. Он родился в городе Тарс, был фарисеем – членом самой строгой иудейской секты – и преследовал христиан. После того, как Павел сам стал христианином, он стал одним из самых активных проповедников евангелия: он много путешествовал по Римской империи, рассказывая людям об Иисусе и основывая церкви. Павел старался регулярно навещать эти церкви, чтобы научить верующих жить праведно. Когда апостол не мог сам посетить церкви, он писал им письма (послания). Всего в Новом Завете содержится более 10 посланий, написанных апостолом Павлом. <br><br>### О чём послание Титу?<br><br><br>Послание Титу относится к так называемым пастырским посланиям Павла, потому что<br>адресовано не общине в целом, а руководителю (пастырю) церкви – Титу (также пастырскими посланиями называют 1 и 2 послания Тимофею). Тит был младшим товарищем и сотрудником Павла и помогал апостолу в его служении. Павел упоминает Тита и в других своих посланиях (см. 2 Кор. 2:3-4, 13; 7:6-16; 8:23; Гал. 2:1-3; 2 Тим. 4:10). Послание Титу написано в то время, когда Тит, по поручению Павла, находился на острове Крит. В этом письме Павел даёт указания о том, как выбирать руководителей церкви. Павел также говорит о том, как верующие должны вести себя по отношению друг к другу и призывает их всех жить жизнью, угодной Богу.<br><br>### Как перевести название этой книги?<br><br>Переводчики могут выбрать традиционное название – “Послание Титу”. Можно сделать название более детальным – “Письмо апостола Павла к Титу”, или более кратким – “Титу”. (См.: [[rc://ru/ta/man/translate/translate-names]])<br><br>## Часть 2: Важные религиозные и культурные концепции<br><br>### Какие люди могут нести служение в церкви?<br><br>В Послании Титу содержится учение о том, может ли женщина или разведенный мужчина служить на руководящей позиции в церкви. Среди исследователей существуют разногласия по поводу этого учения. Возможно, вам следует более подробно ознакомиться с этими вопросами прежде, чем переводить эту книгу.<br><br>## Часть 3: Важные проблемы перевода<br><br>### Что значит “наш Спаситель Бог”?<br><br>В этом послании фраза “наш Спаситель Бог” встречается 3 раза. Павел называет Бога Спасителем, чтобы читатели поняли – во Христе Бог прощает их согрешения против Него, и этим прощением Он спасает их от наказания в тот день, когда Он будет судить всех людей. Похожая фраза в этом послании – “наш великий Бог и Спаситель Иисус Христос”.
TIT	1	intro	c7me			0		# Титу Глава 1. Общие примечания<br><br>## Структура и формат<br><br>Стихи 1-4 – это введение. Павел начинает письмо, следуя стандартной формулировке, с которой обычно начинались письма на Древнем Ближнем Востоке.<br><br>В стихах 6-9 Павел перечисляет качества, которыми должен обладать человек, чтобы стать старейшиной церкви. (См: [[rc://ru/ta/man/translate/figs-abstractnouns]]). Похожий список содержится в 1 Тим 3.<br><br>## Особые понятия в этой главе<br><br>### Старейшины<br><br>Руководители церкви могли называться по-разному, например: старейшина (на греч.яз. “пресвитер”), пастор (букв. на лат. “пастух”), епископ (букв. с греч. “смотритель”).
TIT	1	1	rtc9	figs-abstractnouns	κατὰ πίστιν	1	по вере	**вера** ‒ это абстрактное понятие. Здесь это слово означает верить или доверять Иисусу. Вы можете перевести это слово глаголом, если так будет более понятно на языке перевода. Альтернативный перевод: “чтобы укрепить веру” или “чтобы научить [избранный Божий народ] во всём полагаться на Бога” (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	1	1	xyz8	figs-abstractnouns	ἐπίγνωσιν	1	познанию	**познание** ‒ это абстрактное понятие. Вы можете употребить глагол “знать” или “узнать” (как это сделано в RSOB), если так будет более понятно на языке перевода. Павел хочет, чтобы люди узнали истинное учение о Боге и Христе, и через это научились жить жизнью, угодной Богу. (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	1	1	abc8	figs-abstractnouns	ἀληθείας	1	истины	**истина** ‒ это абстрактное понятие. Чтобы разъяснить его, вы можете перевести это слово словосочетанием с  прилагательным, напр. “то, что правильно” или “правильное учение”. Павел хочет, чтобы люди знали правильное учение о Боге и Христе, и благодаря этому смогли жить так, как угодно Богу. (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	1	1	fyf8	figs-abstractnouns	τῆς κατ’ εὐσέβειαν	1	согласно благочестию	**благочестие** – это абстрактное понятие, означающее жизнь, угодную Богу. Альтернативный перевод: “то, что согласуется с почитанием Бога” (См: [[rc://ru/ta/man/translate/figs-abstractnouns]])
TIT	1	2	xyz9		ἐπ’ ἐλπίδι ζωῆς αἰωνίου	1	в надежде вечной жизни	“которое даёт нам твёрдую надежду на вечную жизнь” или “держащемся на нашей твёрдой надежде на вечную жизнь”
TIT	1	2	r2gj		πρὸ χρόνων αἰωνίων	1	прежде вечных времён	“до начала времени” или “до того момента, когда начало существовать время”
TIT	1	3	b22h		καιροῖς ἰδίοις	1	в своё время	“в нужное время” или “тогда, когда было нужно”
TIT	1	3	swi9	figs-metaphor	ἐφανέρωσεν & τὸν λόγον αὐτοῦ	1	открыл Своё Слово	Павел говорит о Божьем слове как о каком-то закрытом предмете, который можно открыть и показать людям, что находится внутри. Альтернативный перевод: “Он дал понять смысл Своего учения” (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	3	abc9		ἐν κηρύγματι	1	в проповеди	Через проповедь Павла Бог сообщает людям Свой план спасения
TIT	1	3	m41u	figs-activepassive	ὃ ἐπιστεύθην ἐγὼ	1	которая была доверена мне	Можно перевести эту фразу активной конструкцией. Альтернативный перевод: “Бог доверил мне” или “Бог возложил на меня ответственность мне проповедовать” (См: [[rc://ru/ta/man/translate/figs-activepassive]])
TIT	1	3	dpn4		τοῦ Σωτῆρος ἡμῶν, Θεοῦ	1	нашего Спасителя, Бога	“Бога, Который спасает нас”
TIT	1	3	xy18	figs-inclusive	ἡμῶν	1	нашего	Здесь притяжательное местоимение 1 лица мн.числа (“нашего”) включает в себя Павла, Тита и всех христиан. (См: [[rc://ru/ta/man/translate/figs-inclusive]])
TIT	1	4	gu55	figs-metaphor	γνησίῳ τέκνῳ	1	настоящему сыну	Хотя Тит не был биологическим **сыном** Павла, их роднила единая вера в Христа. Павел считает родство со Христом через веру важнее биологического родства. И, учитывая разницу в возрасте и единую веру в Христа, Павел относится к Титу как к родному сыну. Также возможно, что Тит был как бы сыном Павла потому, что Павел привёл его к вере в Христа. Альтернативный перевод: “ты мне как сын” (См: [[rc://ru/ta/man/translate/figs-metaphor]])
TIT	1	4	wx6c		κοινὴν πίστιν	1	общей вере	Павел и Тит разделяли одну веру в Христа. Альтернативный перевод: “так как нас породнила вера в Христа”
TIT	1	4	h93t	figs-ellipsis	χάρις καὶ εἰρήνη	1	благодать и мир	Павел обычно использовал это словосочетание в качестве приветствия. Вы можете объяснить, что означают эти слова. Альтернативный перевод: “Желаю тебе испытать на себе Божью доброту и иметь покой на душе” (См: [[rc://ru/ta/man/translate/figs-ellipsis]])
